stock1,stock2,lag,A_causes_B,B_causes_A,p_AB,p_BA
MSFT,CSCO,1,False,False,0.644934289668853,0.08745666947872642
MSFT,IBM,1,False,False,0.054931735140828365,0.4397732224947315
MSFT,INTU,1,False,False,0.4294984497744926,0.40964986188894625
MSFT,NOW,1,False,False,0.9805539445625854,0.5159266928991055
MSFT,ADI,1,False,False,0.8854911916326497,0.2931354166747171
MSFT,PLTR,1,False,False,0.8100440919513325,0.2695800169186167
MSFT,AI,1,False,False,0.0840669692853224,0.40009423116663057
MSFT,SNOW,1,False,False,0.5530703526996241,0.9272768845550666
MSFT,PATH,1,False,False,0.3546700008443404,0.8674704173004714
MSFT,DDOG,1,False,False,0.8949275835613253,0.802550503492539
MSFT,NET,1,False,False,0.28260458921243836,0.9724791032425382
MSFT,CRWD,1,False,False,0.9149105961874535,0.9239667123808355
MSFT,ZS,1,False,False,0.46370291343410486,0.2708876382401871
MSFT,OKTA,1,False,False,0.11871758758880872,0.5575476287411087
MSFT,MDB,1,False,False,0.4040214759766718,0.8725961864956722
MSFT,PANW,1,False,False,0.850696198148362,0.36383205302066923
MSFT,FTNT,1,False,True,0.22435930415564193,0.030007697896312892
MSFT,S,1,False,False,0.9627165561729996,0.7467769431320723
MSFT,DOCU,1,False,False,0.42147711544920263,0.7002499433089673
MSFT,TWLO,1,False,False,0.9672430024898209,0.18942233668580766
MSFT,U,1,False,False,0.17299280660022923,0.7586104212680566
MSFT,RBLX,1,False,False,0.2991246984332129,0.4137517276920657
MSFT,COIN,1,False,False,0.4075990241659003,0.6378606217639786
MSFT,PYPL,1,False,False,0.0754927897472701,0.6234105463507259
MSFT,ARM,1,False,False,0.08209164112673771,0.17482153594335303
MSFT,SMCI,1,False,False,0.7531301095901648,0.5522419409012584
MSFT,MRVL,1,False,False,0.4423995168095337,0.6771386268637454
MSFT,MU,1,False,False,0.8923134516475436,0.9562434906144635
MSFT,LRCX,1,False,False,0.730569955476343,0.5338537788955213
MSFT,KLAC,1,False,False,0.7385604357127926,0.8506177727760365
MSFT,AMAT,1,False,False,0.9868321565387542,0.5028945116171413
MSFT,ASML,1,False,False,0.9066992761744757,0.8136786699680049
MSFT,TSM,1,False,False,0.7978738028479071,0.7891547114737155
MSFT,ITRI,1,False,False,0.22641178080252156,0.7873226866625151
MSFT,NEE,1,True,False,0.0022814358307254937,0.10183109455581182
MSFT,DUK,1,False,False,0.6653842897085496,0.4943465718059886
MSFT,SO,1,True,False,0.03717709642219873,0.39850171812880475
MSFT,D,1,False,False,0.13168258518709935,0.2286576912783573
MSFT,AEP,1,False,False,0.6575210786881537,0.27804160436412695
MSFT,SRE,1,False,False,0.25903799297616764,0.6767008757776529
MSFT,EXC,1,False,False,0.05499742751105754,0.2179799053287221
MSFT,XEL,1,False,False,0.7056087826111345,0.5868944825415494
MSFT,ED,1,False,False,0.701801567846454,0.643662875351677
MSFT,PEG,1,False,False,0.16872436979253572,0.4554833163568044
MSFT,WEC,1,False,False,0.25472165242154354,0.8981255204789814
MSFT,ES,1,False,False,0.3435449330073118,0.18954194131399674
MSFT,AWK,1,True,False,0.043430167590362966,0.8891984705669655
MSFT,DTE,1,False,False,0.7872331702350149,0.8450783812311249
MSFT,ETR,1,True,False,0.011745234988381464,0.3172377371240778
MSFT,FE,1,False,False,0.559748641173847,0.34392147306346943
MSFT,ATO,1,False,False,0.3732369355259888,0.4680618213709844
MSFT,CMS,1,False,False,0.22935147192823727,0.8849207254746113
MSFT,CNP,1,False,False,0.1943609430532083,0.8075342550651466
MSFT,NI,1,False,False,0.3822337051655793,0.783622584813413
MSFT,EVRG,1,False,False,0.913248356717457,0.9360458574105301
MSFT,LNT,1,False,False,0.13675421607674013,0.8025440902802352
